Rk_2022_2023,Player,Pos_2022_2023,Age_2022_2023,Tm_2022_2023,G_2022_2023,GS_2022_2023,MP_2022_2023,FG_2022_2023,FGA_2022_2023,FG%_2022_2023,3P_2022_2023,3PA_2022_2023,3P%_2022_2023,2P_2022_2023,2PA_2022_2023,2P%_2022_2023,eFG%_2022_2023,FT_2022_2023,FTA_2022_2023,FT%_2022_2023,ORB_2022_2023,DRB_2022_2023,TRB_2022_2023,AST_2022_2023,STL_2022_2023,BLK_2022_2023,TOV_2022_2023,PF_2022_2023,PTS_2022_2023,Rk_2021_2022,Pos_2021_2022,Tm_2021_2022,G_2021_2022,GS_2021_2022,MP_2021_2022,FG_2021_2022,FGA_2021_2022,FG%_2021_2022,3P_2021_2022,3PA_2021_2022,3P%_2021_2022,2P_2021_2022,2PA_2021_2022,2P%_2021_2022,eFG%_2021_2022,FT_2021_2022,FTA_2021_2022,FT%_2021_2022,ORB_2021_2022,DRB_2021_2022,TRB_2021_2022,AST_2021_2022,STL_2021_2022,BLK_2021_2022,TOV_2021_2022,PF_2021_2022,PTS_2021_2022,2023-2024 Predicted Points
1.0,Precious Achiuwa,C,23.0,TOR,55.0,12.0,20.7,3.6,7.3,0.485,0.5,2.0,0.269,3.0,5.4,0.564,0.521,1.6,2.3,0.702,1.8,4.1,6.0,0.9,0.6,0.5,1.1,1.9,9.2,1.0,C,TOR,73.0,28.0,23.6,3.6,8.3,0.439,0.8,2.1,0.359,2.9,6.1,0.468,0.486,1.1,1.8,0.595,2.0,4.5,6.5,1.1,0.5,0.6,1.2,2.1,9.1,10.308804648592496
2.0,Steven Adams,C,29.0,MEM,42.0,42.0,27.0,3.7,6.3,0.597,0.0,0.0,0.0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,2.0,C,MEM,76.0,75.0,26.3,2.8,5.1,0.547,0.0,0.0,0.0,2.8,5.0,0.548,0.547,1.4,2.6,0.543,4.6,5.4,10.0,3.4,0.9,0.8,1.5,2.0,6.9,6.4255080407648775
3.0,Bam Adebayo,C,25.0,MIA,75.0,75.0,34.6,8.0,14.9,0.54,0.0,0.2,0.083,8.0,14.7,0.545,0.541,4.3,5.4,0.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4,3.0,C,MIA,56.0,56.0,32.6,7.3,13.0,0.557,0.0,0.1,0.0,7.3,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1,6.79958788816346
5.0,Santi Aldama,PF,22.0,MEM,77.0,20.0,21.8,3.2,6.8,0.47,1.2,3.5,0.353,2.0,3.4,0.591,0.56,1.4,1.9,0.75,1.1,3.7,4.8,1.3,0.6,0.6,0.8,1.9,9.0,4.0,PF,MEM,32.0,0.0,11.3,1.7,4.1,0.402,0.2,1.5,0.125,1.5,2.6,0.56,0.424,0.6,1.0,0.625,1.0,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1,6.193547165410283
6.0,Nickeil Alexander-Walker,SG,24.0,TOT,59.0,3.0,15.0,2.2,5.0,0.444,1.0,2.7,0.384,1.2,2.3,0.515,0.547,0.7,1.0,0.667,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2,6.0,SG,TOT,65.0,21.0,22.6,3.9,10.5,0.372,1.6,5.2,0.311,2.3,5.3,0.433,0.449,1.2,1.7,0.743,0.6,2.3,2.9,2.4,0.7,0.4,1.4,1.6,10.6,1.0087509767209126
6.0,Nickeil Alexander-Walker,SG,24.0,TOT,59.0,3.0,15.0,2.2,5.0,0.444,1.0,2.7,0.384,1.2,2.3,0.515,0.547,0.7,1.0,0.667,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2,6.0,SG,NOP,50.0,19.0,26.3,4.7,12.6,0.375,1.9,6.1,0.311,2.8,6.5,0.434,0.45,1.4,1.9,0.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8,21.022140801129694
6.0,Nickeil Alexander-Walker,SG,24.0,TOT,59.0,3.0,15.0,2.2,5.0,0.444,1.0,2.7,0.384,1.2,2.3,0.515,0.547,0.7,1.0,0.667,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2,6.0,SG,UTA,15.0,2.0,9.9,1.1,3.2,0.333,0.7,2.2,0.303,0.4,1.0,0.4,0.438,0.7,0.8,0.917,0.1,1.5,1.5,1.1,0.3,0.3,0.5,1.0,3.5,18.59631298545778
6.0,Nickeil Alexander-Walker,SG,24.0,UTA,36.0,3.0,14.7,2.3,4.7,0.488,1.0,2.4,0.402,1.3,2.3,0.578,0.591,0.8,1.1,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3,6.0,SG,TOT,65.0,21.0,22.6,3.9,10.5,0.372,1.6,5.2,0.311,2.3,5.3,0.433,0.449,1.2,1.7,0.743,0.6,2.3,2.9,2.4,0.7,0.4,1.4,1.6,10.6,32.454646490862416
6.0,Nickeil Alexander-Walker,SG,24.0,UTA,36.0,3.0,14.7,2.3,4.7,0.488,1.0,2.4,0.402,1.3,2.3,0.578,0.591,0.8,1.1,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3,6.0,SG,NOP,50.0,19.0,26.3,4.7,12.6,0.375,1.9,6.1,0.311,2.8,6.5,0.434,0.45,1.4,1.9,0.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8,6.9301025858478
6.0,Nickeil Alexander-Walker,SG,24.0,UTA,36.0,3.0,14.7,2.3,4.7,0.488,1.0,2.4,0.402,1.3,2.3,0.578,0.591,0.8,1.1,0.692,0.2,1.4,1.6,2.1,0.7,0.4,1.3,1.6,6.3,6.0,SG,UTA,15.0,2.0,9.9,1.1,3.2,0.333,0.7,2.2,0.303,0.4,1.0,0.4,0.438,0.7,0.8,0.917,0.1,1.5,1.5,1.1,0.3,0.3,0.5,1.0,3.5,2.415369271418157
