,StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
0,905069,1,20000441,1,2022,Bradley Beal,WAS,SG,40,20000001,2022-06-20T23:13:41,40,626.0,592,22,143.4,317.7,18.6,20.3,117.4,231.1,20.9,26.0,86.5,12.4,69.6,83.6,34.3,15.7,62.2,77.9,0.5,1.9,1.2,109.2,14.8,2.5,55.6,39.1,382.3,354.5,22.2,3.6,12.7,0.2,0.1,2.3,12.7,647.0,673.1,647.0,-42.0,0.7000000000000001,0.0,673.1,False,,Scrambled
1,905111,22,20000442,1,2022,John Wall,HOU,PG,0,20000022,2022-06-20T23:13:41,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,Scrambled
2,904104,26,20000443,1,2022,Otto Porter Jr.,GS,SF,15,20000026,2022-06-20T23:13:41,63,513.1,575,13,79.5,171.4,19.1,23.1,46.6,82.4,23.3,33.0,89.0,15.2,20.2,25.1,33.1,35.4,113.7,149.1,1.2,3.6,2.4,38.7,27.6,11.9,15.2,34.2,212.2,182.5,23.9,3.2,1.6,0.4,0.30000000000000004,1.3,2.6,552.7,547.8,552.7,95.6,0.8,0.0,547.8,False,,Scrambled
3,904868,23,20000452,1,2022,Garrett Temple,NO,SG,16,20000023,2022-06-20T23:13:41,59,281.3,452,2,45.7,121.1,15.6,19.6,21.4,45.3,19.5,24.3,75.8,13.2,11.5,16.9,28.1,12.4,47.0,59.3,0.5,2.0,1.2,30.5,17.7,3.9,17.3,33.4,127.3,128.6,20.4,1.8,1.6,0.30000000000000004,0.30000000000000004,2.0,2.4,308.5,305.1,308.5,-134.3,0.0,0.0,305.1,False,,Scrambled
4,905006,5,20000453,1,2022,Terrence Ross,ORL,SG,0,20000005,2022-06-20T23:13:41,64,412.5,596,3,90.6,228.2,16.4,19.2,58.9,119.5,20.3,31.7,108.8,12.0,46.1,53.6,35.5,3.4,58.1,66.3,0.2,1.7000000000000002,1.0,47.8,11.5,2.0,30.9,28.0,259.1,251.8,21.2,2.2,2.1,0.2,0.1,1.9,3.5,429.0,447.1,429.0,-142.6,0.0,0.0,447.1,False,,Scrambled
5,904856,23,20000455,1,2022,Jonas Valanciunas,NO,C,74,20000023,2022-06-20T23:13:41,74,1085.0,923,16,210.1,386.5,22.4,23.6,186.6,321.4,23.9,23.5,65.1,14.9,97.6,119.1,33.8,93.1,254.2,347.3,1.9,12.9,3.5,78.3,16.9,24.7,73.7,101.8,541.4,438.8,25.4,10.2,2.4,0.2,0.4,2.4,4.1,1126.7,1181.9,1126.7,27.6,20.6,0.0,1181.9,False,,Scrambled
6,905048,11,20000456,1,2022,DeMar DeRozan,CHI,SG,76,20000011,2022-06-20T23:13:41,76,1298.7,1129,2,318.9,632.4,20.8,21.5,298.3,573.9,21.4,20.6,58.5,14.5,214.2,244.3,36.1,23.1,138.0,161.1,0.4,2.3,1.4,154.1,28.0,4.1,74.2,73.3,872.6,739.9,24.3,11.1,4.0,0.2,0.1,1.5,13.2,1336.6,1357.8,1336.6,31.7,1.0,0.0,1357.8,False,,Scrambled
7,905724,4,20000457,1,2022,Kyle Lowry,MIA,PG,63,20000004,2022-06-20T23:13:41,63,780.1,878,1,113.7,258.3,18.1,22.9,54.4,100.9,22.2,59.3,157.4,15.5,61.0,71.7,35.1,13.6,102.6,116.2,0.30000000000000004,2.2,1.3,195.3,27.6,2.9,69.2,72.9,347.7,289.9,24.7,3.0,13.3,0.30000000000000004,0.1,3.3,3.1,814.7,861.3,814.7,103.0,2.7,0.30000000000000004,861.3,False,,Scrambled
8,905763,3,20000459,1,2022,Lou Williams,ATL,SG,0,20000003,2022-06-20T23:13:41,56,261.6,329,14,51.5,131.8,16.1,18.5,36.3,89.8,16.6,15.2,42.0,15.0,27.6,32.1,35.4,2.7,29.3,35.8,0.4,1.6,1.0,43.3,11.5,0.5,17.7,19.8,145.8,146.0,20.6,2.5,3.2,0.30000000000000004,0.1,1.8,3.7,274.4,279.9,274.4,2.5,0.0,0.0,279.9,False,,Scrambled
9,904107,8,20000464,1,2022,James Johnson,BKN,PF,10,20000008,2022-06-20T23:13:41,62,359.7,490,16,59.3,126.5,19.3,20.9,49.9,91.5,22.5,3.9,35.0,11.2,11.9,22.7,21.7,21.0,67.6,88.6,0.8,2.5,1.7000000000000002,53.6,12.4,14.0,19.8,66.7,140.1,136.5,21.2,2.1,2.5,0.2,0.4,2.1,2.3,386.0,379.3,386.0,-24.3,0.2,0.0,379.3,False,,Scrambled
10,904135,27,20000468,1,2022,Anthony Davis,LAL,PF,40,20000027,2022-06-20T23:13:41,40,732.9,578,0,152.4,286.3,21.9,22.3,147.1,257.5,23.5,2.2,28.8,3.2,71.7,100.5,29.4,43.7,118.7,162.3,1.4,3.7,2.6,50.3,20.2,37.1,33.8,40.0,381.9,330.6,23.8,11.5,2.5,0.30000000000000004,1.0,1.6,11.2,790.1,772.3,790.1,-40.0,3.2,0.0,772.3,False,,Scrambled
11,904797,22,20000471,1,2022,Eric Gordon,HOU,SG,46,20000022,2022-06-20T23:13:41,57,460.0,688,18,110.4,232.4,19.6,24.1,59.3,108.4,22.6,51.1,124.0,17.0,43.3,55.6,32.1,2.5,40.4,46.6,0.2,1.1,0.6000000000000001,63.4,11.5,3.1,44.1,26.0,315.2,256.8,25.3,2.5,2.4,0.1,0.2,2.5,3.2,479.0,510.0,479.0,-72.5,0.0,0.0,510.0,False,,Scrambled
12,904110,15,20000474,1,2022,Jrue Holiday,MIL,PG,64,20000015,2022-06-20T23:13:41,67,973.4,909,15,196.9,393.0,20.6,23.5,142.6,260.8,22.5,54.4,132.3,16.9,56.4,74.2,31.4,28.4,95.6,124.0,0.6000000000000001,1.9,1.2,188.3,44.5,11.9,75.4,54.8,504.7,425.7,24.4,4.0,13.1,0.4,0.2,2.6,4.0,1029.9,1051.9,1029.9,175.5,2.0,0.0,1051.9,False,,Scrambled
13,904077,26,20000482,1,2022,Draymond Green,GS,PF,44,20000026,2022-06-20T23:13:41,46,541.5,547,23,55.6,105.9,21.6,22.9,49.0,83.6,24.1,2.7,22.2,12.2,24.7,37.5,27.2,18.5,119.9,138.4,0.6000000000000001,3.9,2.3,131.8,25.5,20.6,57.3,56.0,142.6,122.4,24.0,2.9,13.4,0.4,0.6000000000000001,13.1,2.4,587.6,583.4,587.6,78.3,0.7000000000000001,0.2,583.4,False,,Scrambled
